GAME_ID,SEASON,SEASON_LABEL,GAME_TYPE,GAME_DATE,GAME_DATETIME,STATUS,HOME_TEAM_ID,HOME_TEAM_ABBREV,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM_ABBREV,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,VENUE,LAST_PERIOD_TYPE,SERIES_STATUS
2021020001,20212022,2021-22,2,2021-10-12,2021-10-12T23:30:00Z,OFF,14,TBL,Tampa Bay Lightning,5,PIT,Pittsburgh Penguins,2.0,6.0,Amalie Arena,REG,
2021020002,20212022,2021-22,2,2021-10-12,2021-10-13T02:00:00Z,OFF,54,VGK,Vegas Golden Knights,55,SEA,Seattle Kraken,4.0,3.0,T-Mobile Arena,REG,
2021020003,20212022,2021-22,2,2021-10-13,2021-10-13T23:00:00Z,OFF,10,TOR,Toronto Maple Leafs,8,MTL,Montréal Canadiens,2.0,1.0,Scotiabank Arena,REG,
2021020004,20212022,2021-22,2,2021-10-13,2021-10-13T23:30:00Z,OFF,15,WSH,Washington Capitals,3,NYR,New York Rangers,5.0,1.0,Capital One Arena,REG,
2021020005,20212022,2021-22,2,2021-10-13,2021-10-14T02:00:00Z,OFF,21,COL,Colorado Avalanche,16,CHI,Chicago Blackhawks,4.0,2.0,Ball Arena,REG,
2021020006,20212022,2021-22,2,2021-10-13,2021-10-14T02:00:00Z,OFF,22,EDM,Edmonton Oilers,23,VAN,Vancouver Canucks,3.0,2.0,Rogers Place,SO,
2021020015,20212022,2021-22,2,2021-10-13,2021-10-14T02:00:00Z,OFF,24,ANA,Anaheim Ducks,52,WPG,Winnipeg Jets,4.0,1.0,Honda Center,REG,
2021020007,20212022,2021-22,2,2021-10-14,2021-10-14T23:00:00Z,OFF,7,BUF,Buffalo Sabres,8,MTL,Montréal Canadiens,5.0,1.0,KeyBank Center,REG,
2021020008,20212022,2021-22,2,2021-10-14,2021-10-14T23:00:00Z,OFF,9,OTT,Ottawa Senators,10,TOR,Toronto Maple Leafs,3.0,2.0,Canadian Tire Centre,REG,
2021020009,20212022,2021-22,2,2021-10-14,2021-10-14T23:30:00Z,OFF,17,DET,Detroit Red Wings,14,TBL,Tampa Bay Lightning,6.0,7.0,Little Caesars Arena,OT,
